title,price,link
"FOLINHAM 15.6 inch Laptop, Intel 12th Quad Core N100(Up to 3.4GHz),12GB LPDDR4 RAM 512GB SSD, 2K FHD IPS Laptops, 2.4G/5G WiFi, Webcam,Full-Featured Type-C,Extra Large Touchpad,Large Capacity Battery","22,099",https://www.amazon.in/FOLINHAM-Laptop-Full-Featured-Touchpad-Capacity/dp/B0D319J1K7/ref=sr_1_70?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-70
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Win 11/Office 2021/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS00U00","49,100",https://www.amazon.in/Lenovo-ThinkPad-Graphics-Keyboard-21JRS00U00/dp/B0C7HYBQW1/ref=sr_1_71?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-71
Lenovo V15 G3 IAP Laptop RYZEN 3-7320u / 8GB DDR4 / 512 GB SSD PCIe / 15.60 FHD TN Display/Windows 11/Ms-Office/Silver (Grey) / 1 Year Onsite Warranty,"27,950",https://www.amazon.in/Lenovo-3-7320u-Display-Ms-Office-Warranty/dp/B08P7YS7YN/ref=sr_1_72?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-72
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","12,990",https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_7?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.6JUkmQ71bkmS_aR-UpbecgNTPuXiMA430hxIR8fYeqaCRqlLIP1aBE8IAXr2Ffz0Wz0-V1vTaoGbqt2bItF6j9cFxYQqA7Zw-5n3dzJ2mGVcrQ7-T1_dfzcDSI_tpfu0n1r2c6v8PTelDCJ2KGnnKx-yLkm73kzYGLT66jdWLyzviBRkocABaSvLAMsgTCkrEJyqb4ZMVsaGTEJh-ih42zzXm-ZpRTg7B-uT5JEPq9U.ZmqidXvuOCg7dfAabtv-0tdOPEN9opYYY-gBHoBnaic&dib_tag=se&keywords=laptop&qid=1742040590&sprefix=laptop%2Caps%2C265&sr=8-7
"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050, 16GB DDR4,512GB SSD (Win11, Office21, Blue,2.3kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm), Flicker-free Gaming Laptop, Enhanced Cooling,fa1379TX/fa1412tx","65,499",https://www.amazon.in/HP-i5-12450H-15-6-inch-Backlit-fa1379TX/dp/B0D81CP85D/ref=sr_1_73?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-73
"Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) IN-N15V2C Thin and Light Laptop with Numeric Keyboard (15.6 inch, Silver, 1.56 kg)","16,990",https://www.amazon.in/Thomson-Intel-Celeron-N4020-N15V2C/dp/B0DHPC5QYF/ref=sr_1_74?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-74
"CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Processor 15.6"" Laptop with 16GB DDR4 RAM and 512GB SSD, FHD Display, Backlit Keyboard, Windows 11, Gray, 3xUSB3.0,1xHDMI,SD Card Slot,3.5MM,Camera Switch","32,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDA5NTEwNzE4Njk0OTA6MTc0MjA0MDYyOTpzcF9tdGY6MzAwMzkyMjc2OTE0NTMyOjowOjo&url=%2FCoreBook-i5-12450H-Processor-Keyboard-3xUSB3-0%2Fdp%2FB0D876WXM7%2Fref%3Dsr_1_75_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040629%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell Inspion 7430 Laptop, Intel Core i5-13500H Processor, 16GB LP DDR5 + 512GB SSD, 14.0"" (35.56cm) 2.5K 300 nits, Win 11+ MSO'21 + 15 Months McAfee, Backlit KB + FPR, Silver, Thin & Light- 1.66kg","81,190",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDA5NTEwNzE4Njk0OTA6MTc0MjA0MDYyOTpzcF9tdGY6MzAwNDM5MDYxOTcyMTMyOjowOjo&url=%2FDell-Inspion-i5-13500H-Processor-35-56cm%2Fdp%2FB0D3HY6LB6%2Fref%3Dsr_1_76_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040629%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Acer Nitro V 15, AMD Ryzen 7 7735HS Octa-core,NVIDIA GeForce RTX 4050-6 GB GDDR6, 16GB DDR5, 512GB SSD,15.6""/39.6cm IPS FHD, 144Hz, Windows 11 Home, Obsidian Black, 2.1KG, ANV15-41 Gaming Laptop","70,990",https://www.amazon.in/Acer-7-7735HS-Graphics-Windows-ANV15-41/dp/B0DFWVTQQ7/ref=sr_1_77?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-77
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","53,250",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D143SJ9R/ref=sr_1_78?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-78
